French,English
histoire,history
chercher,search
police,police
pensais,thought
demande,request
mois,month
frère,brother
car,because
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
longtemps,long time
heures,hours
vont,will
place,square
parle,speak
savais,knew
étaient,were
voici,here is
type,type
leurs,their
donné,given
endroit,place
écoute,listen
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
matin,morning
tellement,so much
enfant,child
point,point
devant,in front of
vers,towards
minutes,minutes
belle,beautiful
aujourd'hui,today
mari,husband
enfin,finally
attendez,Wait
boulot,job
dirait,would say
terre,Earth
compte,account
aura,will have
filles,girls
jouer,to play
